Appetizers,
Small Nachos ,$6.50
Large Nachos,$7.50
Cheese Bread,$6.50
Add Sauce,$1.00
Plain Garlic Bread,$3.50
Breadsticks,$4.75
Cheese Curds,$7.00
Mozzarella Sticks,$7.50
Jalapeno Poppers,$7.50
French Fries,$4.00
Chicken Wings,$10.00
Chicken Strip Basket and Fries,$9.00
PopCorn Chicken,$5.50
Salads,
Small Antipasto,$10.25
Large Antipasto,$11.25
Small Taco Salad,$10.50
Large Taco Salad,$11.50
Dinner Salad,$3.00
Pasta,
Chicken Parmesan,$10.00
Ravioli (with beef),$8.75
Mostaccioli,$9.50
Small Lasagna,$6.00
Large Lassgna,$8.50
Small Spaghetti,$6.25
Large Spaghetti,$8.25
additional meatball,$0.75
Manicotti,$8.75
Chicken Alfredo,$10.25
